id,wallet,username,honest_thoughts,sad_if_gone,improvements,real_money,extra,submitted_at
20,9164nUKQVa2N8v6PBTtreGQbXmKFw8JvwZNuP1dQ9JT9,ZeroXirem,"Its a good prediction market for use, just need more prediction for Esport Tournament. That would be a nicer update if u add esport/sport tournament prediction :)",Very disappointed,"More reward on airdrop point, more prediction on esport/sport tournament, it will be fun if have prediction on sport/esport tournament",Definitely,Please add Sport/Esport Tournament prediction very often because its fun & enjoying!,2026-05-07T07:33:57.073Z
21,Cm1m371fvMKCmY6NALgd64CgVXVzFupir4JdNTeCUYyZ,gonzalez,the prediction market is nice but some of the options are a bit off.,Somewhat disappointed,Faster market resolution for sure.,Maybe,,2026-05-07T08:29:50.088Z
22,49GT1N8mRLp4Q9JYJDRR3YopGtfHFGTrwg6cmbm3u2fY,Michael_Donnn,Very responsive site and it load faster,Very disappointed,More market categories and  more colors added to the layout,Definitely,A light mode and a dark mode,2026-05-07T09:48:18.211Z
23,9HQsNJVpAoobf9CdCzn1KrDQ2NU3QJczLrfM8EziunYd,ICON,A very enjoyable platform to bet on!,Somewhat disappointed,Nothing as of now!!!,Maybe,,2026-05-07T10:06:22.349Z
24,F7MHkmXLhu9ZKCkUCXfpZwEZBM3Z6HVS4Nn2WVajbvQk,Mrswaz,I like the UI sometimes site feels slow,Very disappointed,Performance speed of the site,Definitely,,2026-05-07T10:08:26.423Z
25,FYpuYg37uZDetiaAzdBacAA8pfi9nJYD6sgS5ksrLAGZ,murid,"I think everything's fine now. By the way, I'd love it if you guys added the option to upload our own profile picture.

W dev team, so far I enjoy all the content you guys deliver.",Somewhat disappointed,"better mobile layout is yes, but now it's already enough.
definitely add more market 100%.",Maybe,"nothing to say again, but you guys are amazing. like doing some fun to community and give them free money its awesome move guys. hope you guys always goooddddd.


W",2026-05-07T11:41:55.955Z
26,9C6PqTjBhauy1DjwN9V26hZaGZLySecavTH7S7AQQfKB,Bhheennyy,"It’s actually cool , but pls bring more prediction on football games and Video games",Very disappointed,"Ux performance 

White and dark mode",Definitely,Kudos to the team for this great product,2026-05-07T13:38:14.775Z
27,FC6AxAYPfv2ALbr86iLW8V31J19TcQh6FNA5C8bXPn2u,Kulio9999,"Really like it so far. Good social aspect to it, like the need for Discord integration as it makes it feel less vulnerable to bots, makes competition feel fairer.",Very disappointed,"Maybe some quicker resolving markets if something big is happening all of a sudden would be fun.

Would also be useful to tell at a high-level glance while browsing the markets if you've spent all your tokens in them. I'm using mostly on my mobile.",Definitely,,2026-05-07T14:03:10.764Z
28,H66pXUAECyZYLrEgperbwC4YF5pWMmFcXnxd6eRDi8Eu,cjacobs,So far my impression of Mentioned has been superb.,Somewhat disappointed,Better UI and resolution,Maybe,,2026-05-07T15:08:33.954Z
29,J6FdGw35sqRaA85SXrKHMqeTDi2cGg61omruhiSPvWBP,Yudo,I love this kind of prediction market!,Very disappointed,More market & more like crypto or sport market,Definitely,,2026-05-08T09:30:17.382Z
